site,urchin_stat,zone,time_point,Date,Day_count
Jawbone,Cull,Deep,0,9/12/23,0
Jawbone,Cull,Deep,1,10/17/23,35
Jawbone,Cull,Deep,2,1/8/24,118
Jawbone,Cull,Deep,3,3/22/24,192
Jawbone,Cull,Deep,4,5/13/24,244
Jawbone,Barren,Deep,0,9/12/23,0
Jawbone,Barren,Deep,1,10/17/23,35
Jawbone,Barren,Deep,2,1/8/24,118
Jawbone,Barren,Deep,3,3/22/24,192
Jawbone,Barren,Deep,4,5/13/24,244
Mornington,Barren,Deep,0,10/2/23,0
Mornington,Barren,Deep,1,10/20/23,18
Mornington,Barren,Deep,2,1/27/24,117
Mornington,Barren,Deep,3,3/17/24,167
Mornington,Barren,Deep,4,5/28/24,239
Mornington,Kelp,Deep,0,10/2/23,0
Mornington,Kelp,Deep,1,10/20/23,18
Mornington,Kelp,Deep,2,1/27/24,117
Mornington,Kelp,Deep,3,3/17/24,167
Mornington,Kelp,Deep,4,5/28/24,239
Jawbone,Cull,Deep,5,8/1/24,324
Jawbone,Barren,Deep,5,8/1/24,324
Mornington,Kelp,Deep,5,7/31/24,303
Mornington,Barren,Deep,5,7/31/24,303