species,color_agg
bryozoan,NA
Sediment,grey
BARE,grey
ECCA,pink
CYANOB,blue
Off,NA
ACCI,red
AHNF,red
BEM,brown
BlackCru,blue
BTA,brown
CAB,green
CAUG,green
CAUL,green
Ctax,green
CCA,pink
ChSpp,red
Cldph,green
CLRPA_spp,green
CLSed,green
CodErc,green
cysto,brown
Dictyota,brown
Dty,brown
ECKL,brown
GEM,green
GFA,green
HORMOSIRA.,brown
Jania,red
Limu,red
Lobophora,brown
MGBC,green
NIZY,red
NTHA,brown
Padina,brown
Phyllo,brown
POLY,red
PLOC,red
REM,red
Sargassum,brown
Scyto,brown
Turf,brown
Ulva,green
UPIN,brown